怀德名园	13032	普通住宅	0.5元/平方米·月	274886m²	1902户	2005年	地下285个	1.62	40%(高)	常信房地产开发有限公司 	常信房物业有限公司 	
金洲花城	12350	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
银河湾明苑	14035	别墅	1.18元/平方米·月	300000m²	650户	2012年	地下车位	2.7	60%(高)	常州华光房地产开发有限公司	常州高正物业	
百兴华府	12163	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
中央花园	18017	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
怡美花园（圣巴塞耶）	10908	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
万福花园	10890	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：7572元/平方米	
和平国际	13515	普通住宅	0.85元/平方米·月	290000m²	1000户	2011年	600	2.8	30%(一般)	常州钟旅房地产开发有限公司	常州江南中鑫物业	
湾里新村	8917	暂无数据	0.1元/平米·月	暂无数据	暂无数据	暂无数据	100	2.2	45%(高)	暂无数据	暂无资料	
彩虹城	13932	普通住宅	0.78元/平方米·月	300000m²	921户	2011年	1399	2.22	30%(一般)	常州钱江置业有限公司	常州南大街物业管理有限公司	
九龙仓繁华里	15357	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
翠竹北区	9285	普通住宅	0.30元/平方米·月	50000m²	600户	2000年	36	暂无数据	暂无数据	常州公共住房建设投资发展有限公司	小区物业	
绿洲白马公馆	11351	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
阳湖世纪苑	9615	普通住宅	0.35元/平方米·月	83000m²	700户	2000年	1：0.5	暂无数据	22%(一般)	常州市武进城区房产开发有限公司	武进城区物业有限公司	
新城香溢俊园	13552	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
香缇湾花园	13333	普通住宅	0.9元/平方米·月	200000m²	1674户	2010年	地下1323个	2.66	35%(一般)	常州金昌房地产建设发展有限公司	中房物业	
聚湖雅苑	10708	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
保纳达人汇	7256	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
奥林匹克花园	8937	普通住宅	0.50元/平方米·月	26328m²	218户	2007年	1:0.6	1.08	40%(高)	常州奥林匹克花园房地产开发有限公司	常奥物业	
馨河丽舍	13658	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
工人新村	7604	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：6366元/平方米	
采菱公寓	9303	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
玲珑花园	10139	普通住宅	0.5元/平方米·月	400000m²	1300户	2008年	地下1300个	2.2	45%(高)	常州市金达置业有限公司 	常州博爱物业	
典雅花园	16302	普通住宅	1.07元/平方米·月	380000m²	2225户	2013年	地下层	2.71	30%(一般)	常州神力德汇房地产开发有限公司	常州中房物业有限公司	
北环南村	8044	暂无数据	1.7元/平方米·月	暂无数据	暂无数据	暂无数据	暂无数据	1.4	40%(高)	暂无数据	暂无资料	
陈渡新苑	10503	普通住宅	0.45元/平方米·月	281200m²	2007户	2007年	2：1左右	1.75	35%(一般)	常州经济适用房发展中心	常州经济适用房发展中心	
嘉宏盛世（公寓）	19894	普通住宅	1.15元/平方米·月	280000m²	945户	2009年	1100个，车位比1：0.6	2.4	30%(一般)	常州嘉宏房地产开发有限公司	德恒行	
新城府翰苑	15818	普通住宅	1.5元/平方米·月	300000m²	1600户	2009年	70%以上	2.4	35%(一般)	常州富域发展有限公司	新城物业	
水晶城	12301	普通住宅	0.75元/平方米·月	242060m²	1924户	2011年	1200	2	30%(一般)	常州裕成房地产开发有限公司	高成物业管理有限公司	
新濠澜境	9072	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
天安尚城	10706	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
新城御景湾	20241	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
弘阳广场	12826	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
凤凰湖壹号	11033	普通住宅	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
锦阳花园	9736	普通住宅	0.35元/平米·月	190895m²	2000户	2006年	停车位:1：0.7	1.85	23%(一般)	常州新区新业房地产开发有限公司 	常州新区新业物业开发有限公司 	
城置御水华庭	13170	普通住宅	1.4元/平方米·月	380000m²	2943户	2013年	2065	2.7	60%(高)	常州城置置业有限公司	香港戴德梁行	
天禄MINI公寓	8458	普通住宅	0.7元/平方米·月	90000m²	3000户	2010年	0.6:1	2.7	65%(高)	常州天禄中创建设开发有限公司	常州府琛物业管理有限公司	
新城金郡	20472	普通住宅	2.5元/平方米·月	217890m²	1600户	2012年	1:1的车位配比	2.2	60%(高)	新城地产	新城物业	
金色领寓	12638	普通住宅	0.75元/平方米·月	80000m²	714户	2013年	472	2.5	30%(一般)	常州金石置业有限公司	常州中兴科技物业管理有限公司	
