新城风尚	13975	普通住宅	0.7元/平方米·月	70000m²	650户	2010年	地下440个	1.8	35%(一般)	常州新城房产开发有限公司 	新城物业	
牌楼巷	6487	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
新城南都别墅	16830	普通住宅	0.58元/平方米·月 	868600m²	2902户	2009年	4000	1.78	30%(一般)	江苏新城房产股份有限公司	新城物业	
运河花园	11289	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	25%(一般)	暂无数据	暂无资料	
青枫1号	16431	暂无数据	2.92元/平方米·月	暂无数据	暂无数据	暂无数据	1：1 左右	1.05	35%(一般)	暂无数据	上海金晨物业管理有限公司	
水清木华园	14142	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	地上42个，地下378，共420个	3	30%(一般)	暂无数据	启迪物业	
九洲豪廷苑	15278	普通住宅	0.8元/平方米·月	80000m²	400户	2008年	地下318个	0.5	53%(高)	常州九洲福星房地产开发有限公司	中鑫福安物业有限公司	
中山门公寓	13660	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	200	2.87	30%(一般)	暂无数据	暂无资料	
华亭苑	13198	普通住宅	1.5元/平方米·月	109000m²	348户	2007年	地下825个	2.4	64%(高)	常州华天房地产开发有限公司	常州中鑫物业	
九洲花园(普宅)	11764	普通住宅	0.73元/平方米·月	688000m²	900户	2009年	807个	2.1	35%(一般)	江苏九洲集团常州道成置业有限公司	常州江南中鑫物业	
金城花苑	11960	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
香树湾和院	13875	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
顺园新村	7745	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
大诚苑二期	11352	暂无数据	0.45元/平方米·月	暂无数据	暂无数据	暂无数据	362	1.92	36%(一般)	暂无数据	常州江南中鑫物业管理有限公司	
阳光花园	27709	暂无数据	0.80元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.8	2.3	暂无数据	暂无数据	常州嘉丰物业	
惠山苑	9533	暂无数据	0.30元/平方米·月	暂无数据	暂无数据	暂无数据	地面：150	1.85	25%(一般)	暂无数据	新亿物业	
嘉新花园	7970	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
太湖花园	13265	普通住宅	0.60元/平方米·月	50000m²	600户	2005年	地面停车场	暂无数据	暂无数据	常州市丰臣房地产开发有限公司	常州市丰臣物业有限公司	
星海雅筑	13310	普通住宅	0.6元/平方米·月	25000m²	218户	2009年	189	2.5	20%(一般)	欣盛房产	常州市延陵物业管理有限公司	
滨江·名都城	9758	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
星海银园心庭	14109	普通住宅	0.35元/平方米·月	43331m²	130户	2008年	地下150个	1.92	33%(一般)	常州市河海房地产开发有限公司 	常州市河海物业有限公司 	
太阳花园	13782	普通住宅	0.8元/㎡/月	30000m²	300户	2007年	1：0.5	3.04	37%(一般)	常州市康桥房地产开发	新天地置业有限公司	
三井西小村	10000	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
金城大厦	6917	普通住宅	0.45元/平方米·月	46025m²	100户	2005年	200	1.4	10%(低)	天津金城大厦投资有限公司	万达物业	
天安新城市花园	12136	普通住宅	1元/平方米·月	31202m²	214户	2007年	地下176个	1.6	55%(高)	常州天安城市发展有限公司 	常州天安城市发展有限公司 	
兰翔二村	8991	普通住宅	0.3元/㎡/月	10976m²	150户	2000年	地面停车	暂无数据	暂无数据	常州市丰臣房地产开发有限公司	常州兰花物业	
桃花源	7135	普通住宅	0.6元/平方米·月	400000m²	2000户	2012年	1期200个，2期228个	1.25	30%(一般)	兰星地产	兰星物业	
欣达园	9153	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
中天名园（雅墅）	12732	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
中凉七期	8709	暂无数据	0.75元/平米·月	暂无数据	暂无数据	暂无数据	250	1.8	35%(一般)	暂无数据	暂无资料	
建安家园	7407	暂无数据	0.3元/平米·月	暂无数据	暂无数据	暂无数据	1：0.5	1.62	29%(一般)	暂无数据	暂无资料	
花东一村	7954	暂无数据	0.35元/平米·月	暂无数据	暂无数据	暂无数据	1：0.5	1.68	26%(一般)	暂无数据	暂无资料	
芳草园	10665	暂无数据	0.35元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.7	1.62	20%(一般)	暂无数据	芳草园社区物业	
华都馨苑	11710	普通住宅	0.55元/平方米·月	94000m²	768户	2006年	常州市轻工幼儿园分园	1.9	35%(一般)	常州市华馨房地产开发有限公司	常州怡园物业	
新城熙园（公寓）	9253	暂无数据	0.4元/平米·月	暂无数据	暂无数据	暂无数据	250	1.9	10%(低)	暂无数据	暂无资料	
金都名苑	12325	普通住宅	0.9元/平方米·月	100000m²	800户	2008年	1：1	2	35%(一般)	常州市武进房地产有限公司,常州市由由房地产发展有限公司 	常州市武进物业有限公司	
湖塘乐购	11258	暂无数据	0.8元/平米·月	暂无数据	暂无数据	暂无数据	440	2.8	45%(高)	暂无数据	暂无资料	
竺山湖小镇	13461	公寓	2.8元/平方米·月	40000m²	500户	2009年	1：1	0.33	40%(高)	常州永丰房地产开发有限公司	永丰物业	
天豪大厦	9419	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
湖塘长虹村	5986	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
中山苑	16035	暂无数据	0.8元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.5	1.8	30%(一般)	暂无数据	暂无资料	
西园路小区	15714	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
元丰桥	24243	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	80%	暂无数据	25%(一般)	暂无数据	暂无资料	
西园村	18088	暂无数据	0.4元/平米·月	暂无数据	暂无数据	暂无数据	250	0.25	30%(一般)	暂无数据	暂无资料	
北太平桥	19047	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	30%	1.6	25%(一般)	暂无数据	暂无资料	
椿桂坊	24504	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	80%	暂无数据	25%(一般)	暂无数据	暂无资料	
同安苑	12989	暂无数据	0.4元/平米·月	暂无数据	暂无数据	暂无数据	500	2.6	25%(一般)	暂无数据	暂无资料	
电业宿舍	20833	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	80%	暂无数据	25%(一般)	暂无数据	暂无资料	
浦北公寓	8592	暂无数据	0.5元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.5	1.62	10%(低)	暂无数据	暂无资料	
兰陵家园	14111	普通住宅	0.45元/平方米·月	35800m²	248户	2006年	地下88个	2	30%(一般)	常州市机关房产服务公司	常州市开元物业有限公司	
光华苑	8764	暂无数据	0.5元/平方米·月	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	20%(一般)	暂无数据	上海光华物业发展公司	
城中苑	11990	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：10427元/平方米	
东城明居	12437	普通住宅	0.8元/平方米·月	102560m²	934户	2008年	628	2.5	30%(一般)	常州广景房地产开发有限公司	常州江南中鑫物业管理有限公司	
高宏小区	6397	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	30%	暂无数据	20%(一般)	暂无数据	暂无资料	
荡南小区	7472	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	200	2.3	30%(一般)	暂无数据	暂无资料	
清凉东村	7539	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	1.3	25%(一般)	暂无数据	暂无资料	
中凉一村	8174	暂无数据	0.2元/平米·月	暂无数据	暂无数据	暂无数据	250	2.5	30%(一般)	暂无数据	暂无资料	
华丽雅居	10018	暂无数据	0.3元/平米·月	暂无数据	暂无数据	暂无数据	200	2.1	30%(一般)	暂无数据	暂无资料	
铭巷家园	15590	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：11318元/平方米	
翠竹新小区	8124	暂无数据	1.6元/平方米·月	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
奥韵家园	11388	普通住宅	0.30元/平方米·月	80000m²	450户	2003年	1：0.5	2.18	26%(一般)	常州锦隆房地产开发有限公司 	暂无资料	
清凉茗园	10610	普通住宅	0.46元/平方米·月	30000m²	219户	2005年	地下132个	1.81	35%(一般)	常州华强房地产开发有限公司	常州华强物业有限公司	
元丰苑	18341	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	30%	暂无数据	20%(一般)	暂无数据	暂无资料	
龙庭阳光（住宅）	9734	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：6534元/平方米	
五角场东村	9158	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	暂无数据	1.3	20%(一般)	暂无数据	暂无资料	
翠园世家	12190	普通住宅	0.75元/平方米·月	65890m²	493户	2009年	地下124个	2.2	35%(一般)	江苏今创房地产开发有限公司	江南中鑫	
朝阳二村	7994	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：6390元/平方米	
桃园路	21478	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	80%	暂无数据	30%(一般)	暂无数据	暂无资料	
中吴雅苑	13201	普通住宅	0.5元/平方米·月	68000m²	300户	2011年	地下停车位	2.29	35%(一般)	常州广信置业发展有限公司	常州裕隆物业管理有限公司	
红梅假日广场	12246	暂无数据	1.1元/平米·月	暂无数据	暂无数据	暂无数据	200	2.5	35%(一般)	暂无数据	暂无资料	
故园里	10000	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	20%	暂无数据	20%(一般)	暂无数据	暂无资料	
朝阳三村续建	6868	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
翡丽蓝湾	13814	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
铂安国际	9180	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
茂业泰富城	11222	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
常州四季青服装城	8100	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
茂业・泰富城	11542	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
常州世贸中心	10954	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
浩源大厦	7875	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
合峰汇	11040	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
香树湾名苑	12042	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
润园新村	11920	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
奥韵家园	10065	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
天翼御品	13767	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
泰和之春	14808	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
鹤园弄小区	20523	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
富强周家村	13985	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
嘉乐广场	9574	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
牡丹公寓	18503	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
博爱公寓	15335	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
博爱路小区	18971	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
新天地商业广场住宅	13843	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
鹤苑新都	24923	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
怡康广场	12831	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
怡康富贵楼	12781	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
朝阳雅居	9292	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
青枫壹号	14836	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
意达花园	8959	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
世纪名城	14816	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
罗庄小区	8808	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
景鸿花园	10879	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
花溪兰庭	8988	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
普济弄小区	6788	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
戚机厂工房南区	6759	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
戚机厂工房北区	6622	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
戚区西街小区	6296	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
牌楼巷小区	6564	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
昌盛公寓	7196	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
站北新村	6426	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
河苑东村	5463	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
嘉州枫景苑	9977	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
邹区镇卜	4514	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
四季新城别墅	8678	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
东方公寓二期	10397	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
新城长岛别墅	10403	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
湾里新村	8782	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
邱墅家园	8782	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
世贸大厦	13881	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
常州国际创新基地510生活广场	18229	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
财富广场聚园	11395	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
国展丰采公寓	8499	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
东南花园	22420	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
天宁商都	14031	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
中山门公寓	15850	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
兴隆巷	17777	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
同安苑	12688	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
茭蒲巷	16015	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
大园地	18895	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
麻巷公寓	21407	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
元丰苑	20212	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
东坡雅居	16640	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
蔚蓝天地	10960	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
银河湾电脑城商铺	10317	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
金谷大厦	5547	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
东头村	15755	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
兰陵锦轩	14516	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
富邦广场常州华强电子世界	13068	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
水岸人家	12053	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
黄金公寓	7006	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
长青名苑	5779	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
东方尚院	11470	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
聚景苑	10475	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
融锦融御华庭	12621	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
红星新村	7913	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
万泰商务广场	11559	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
清潭低坝头	7888	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
清潭路小区	8347	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
晋陵路八号	20155	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
世家华庭商铺	13971	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
莱蒙都会	19538	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
秋水云庐	16915	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
奥新华廷	10135	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
蓝色星空	10904	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
中天凤凰电器・汽配城	7988	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
天成苑	17357	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
星盛铂晶公寓	7890	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
金谷花园	8673	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
新城国际公寓	13194	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
兰陵尚品花园	12587	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
武悦广场	13793	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
时代锦苑	10615	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
岗头新村	7269	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
西滩1号	10957	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
湖滨花苑	7692	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
桂名园小区(建设路)	10517	公寓	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
清溪花园	11476	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
春天花苑	7589	暂无数据	0.35元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.7	1.6	20%(一般)	暂无数据	暂无资料	
锦江丽都	9631	普通住宅	0.5元/平方米·月	110000m²	1113户	2006年	1：0.8	1.85	23%(一般)	常州长江房地产发展有限公司	常州裕隆物业管理有限公司	
金色新城熙园	11958	普通住宅	0.55元/平方米·月	500000m²	370户	2006年	1：1	1.83	35%(一般)	常州新城房产开发有限公司	常州新城房产开发有限公司	
西新桥公寓	12631	暂无数据	0.35元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.6	1.56	20%(一般)	暂无数据	西新桥物业	
中南大厦	6526	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
龙船浜	8085	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
芦墅苑	7624	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：7458元/平方米	
会馆浜路	9971	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
清潭南苑	9320	普通住宅	0.45元/平方米·月	39188m²	477户	2004年	地下477个	1.8	30%(一般)	常州市中房房地产开发有限公司	常州市中房物业有限公司	
江南豪华花园	16563	暂无数据	0.80元/平方米·月	暂无数据	暂无数据	暂无数据	1：1	1.85	35%(一般)	暂无数据	常州中信经纪有限公司	
邮电公寓	8766	暂无数据	0.30元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.6	1.6	15%(低)	暂无数据	邮电物业	
怀南苑	9412	暂无数据	0.35元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.5	1.85	20%(一般)	暂无数据	怀南物业	
广景山庄	8690	暂无数据	0.45元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.7	1.5	25%(一般)	暂无数据	常州广景物业	
康宁苑	9022	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
陈渡苑	7160	暂无数据	0.35元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.8	暂无数据	暂无数据	暂无数据	暂无资料	
创业大厦	10243	暂无数据	0.35元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.8	1.6	20%(一般)	暂无数据	暂无资料	
德馨花园	12656	暂无数据	0.35元/平方米·月	暂无数据	暂无数据	暂无数据	地面60个	1.7	21%(一般)	暂无数据	暂无资料	
锦阳西苑	11255	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：6365元/平方米	
西环路	9586	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
蓝色星空	11002	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：8919元/平方米	
紫荆东苑	7903	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
秋水云庐别墅	14524	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
清潭清园	7015	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：6453元/平方米	
紫阳花园	12067	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
